time,base_x,base_y,base_z,base_quat_x,base_quat_y,base_quat_z,base_quat_w,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,contact_LF,contact_RF,contact_LH,contact_RH
0,0,0,0.3,0,0,0,1,0,0,0,0,0,0,0.0108173,0.786541,-1.57308,-0.0108173,0.786541,-1.57308,0.0108173,0.786541,-1.57308,-0.0108173,0.786541,-1.57308,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,
0.02,0.000308876,-0.00026707,0.300647,0.00061734,-0.00174067,-0.000839078,0.999998,0.0303388,-0.0262596,0.0627552,0.117926,-0.308631,-0.158522,0.0114577,0.786708,-1.563,-0.0100811,0.786724,-1.56591,0.009413,0.791645,-1.57284,-0.0122214,0.790488,-1.57342,0.0320213,0.00834446,0.504315,0.0368091,0.00912235,0.358832,-0.0702156,0.2552,0.0122323,-0.0702068,0.197325,-0.0170883,1,1,1,1,
0.04,0.0011916,-0.00103249,0.302432,0.00224643,-0.00538339,-0.00298452,0.999979,0.0573849,-0.049835,0.113786,0.202708,-0.380495,-0.261082,0.0131612,0.786098,-1.53794,-0.00812428,0.786463,-1.54872,0.00592661,0.801857,-1.56912,-0.0156689,0.797937,-1.57159,0.0851747,-0.0304952,1.25276,0.0978422,-0.0130305,0.859043,-0.174319,0.510613,0.185909,-0.172373,0.372488,0.091819,1,1,1,1,
0.06,0.00258232,-0.00224257,0.30512,0.0045616,-0.00856063,-0.00588426,0.999936,0.0811383,-0.070726,0.153093,0.25708,-0.215584,-0.308624,0.0155836,0.783088,-1.50571,-0.00533287,0.784575,-1.52808,0.00143436,0.80942,-1.55739,-0.0200231,0.802247,-1.56325,0.121117,-0.15053,1.61131,0.139571,-0.0944003,1.03235,-0.224613,0.378108,0.586337,-0.217712,0.215461,0.416997,1,1,1,1,
0.08,0.00441518,-0.00384363,0.308478,0.00726851,-0.00890115,-0.00901025,0.999893,0.101599,-0.0889327,0.180676,0.285808,0.18666,-0.303252,0.0184815,0.776389,-1.47442,-0.00200004,0.780008,-1.51077,-0.00299766,0.806348,-1.53295,-0.0241647,0.796591,-1.54394,0.144897,-0.334948,1.56486,0.166641,-0.228358,0.865302,-0.221601,-0.153562,1.2222,-0.207077,-0.282807,0.965397,1,1,1,1,
0.1,0.00662433,-0.00578199,0.312269,0.010107,-0.00402574,-0.0118662,0.99987,0.118767,-0.104455,0.196534,0.293054,0.827006,-0.246712,0.0217938,0.765109,-1.45262,0.00174415,0.771792,-1.50397,-0.00632471,0.784425,-1.49066,-0.0270138,0.773886,-1.50882,0.165612,-0.563967,1.08965,0.187209,-0.410805,0.340309,-0.166353,-1.09619,2.11435,-0.142457,-1.13524,1.75577,1,1,1,1,
0.12,0.00915227,-0.00800186,0.316279,0.0129049,0.00735083,-0.0140212,0.999791,0.133895,-0.11698,0.203355,0.298624,1.37511,-0.155558,0.0254719,0.7491,-1.44609,0.00578798,0.759513,-1.51205,-0.00779605,0.73891,-1.42731,-0.0278352,0.730337,-1.45506,0.183905,-0.800486,0.326826,0.202192,-0.613924,-0.404145,-0.073567,-2.27572,3.16774,-0.0410696,-2.17745,2.6882,1,1,1,1,
0.14,0.0119749,-0.0104391,0.320361,0.0157654,0.0221056,-0.0152083,0.999516,0.148236,-0.126194,0.203823,0.315732,1.50016,-0.0455055,0.0287802,0.730517,-1.44794,0.00941699,0.745519,-1.52766,-0.00765719,0.679753,-1.35019,-0.026996,0.676373,-1.3905,0.165419,-0.929109,-0.0925019,0.181451,-0.699731,-0.780603,0.0069429,-2.95788,3.85563,0.0419583,-2.6982,3.22798,1,1,1,1,
0.16,0.0150765,-0.0130276,0.324389,0.0188193,0.036014,-0.0151762,0.999059,0.161789,-0.132098,0.197938,0.340593,1.20232,0.0836851,0.0306712,0.712213,-1.44812,0.0116085,0.733293,-1.5406,-0.00611624,0.623648,-1.28382,-0.0250195,0.626313,-1.3269,0.0945458,-0.915213,-0.00899154,0.109574,-0.611271,-0.646984,0.0770474,-2.80523,3.31857,0.0988258,-2.50298,3.18019,1,1,0,1,
0.18,0.0184412,-0.015701,0.328236,0.0221933,0.0448619,-0.0136422,0.998653,0.174555,-0.134691,0.185701,0.376329,0.48198,0.23327,0.0299476,0.697301,-1.43665,0.0111781,0.726885,-1.54087,-0.00111032,0.606694,-1.35825,-0.0222499,0.595181,-1.27791,-0.0361768,-0.745605,0.573442,-0.0215164,-0.32042,-0.0135118,0.250296,-0.847724,-3.72116,0.138482,-1.55659,2.44954,1,1,0,1,
