time,base_x,base_y,base_z,base_quat_x,base_quat_y,base_quat_z,base_quat_w,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,contact_LF,contact_RF,contact_LH,contact_RH
0.26,0.0481078,-0.0187392,0.341585,0.0428109,-0.034265,0.0232722,0.998224,0.354733,-0.00486072,0.0868432,0.983484,-1.4173,0.353477,-0.0404973,0.732486,-1.12167,-0.0571904,0.815956,-1.18919,-0.00688114,0.373777,-1.49873,-0.00307129,0.946155,-1.41682,-1.16489,0.540698,2.25923,-1.10621,0.869295,3.44159,-1.64287,-7.32544,12.493,-0.501111,3.84516,-1.58598,0,1,0,1,
0.28,0.0554817,-0.0184269,0.343054,0.0505845,-0.0452851,0.0251822,0.997375,0.382829,0.0372321,0.0602332,0.568975,-0.700817,-0.03798,-0.0613553,0.770569,-1.22627,-0.0733837,0.830383,-1.13598,-0.0364739,0.214477,-1.1935,-0.0149273,1.00339,-1.43183,-1.0429,1.90415,-5.22973,-0.809664,0.721336,2.66043,-1.47964,-7.96496,15.2617,-0.5928,2.86158,-0.750341,0,1,0,1,
0.3,0.0634281,-0.017204,0.344002,0.0528866,-0.0472294,0.022107,0.997238,0.411986,0.0862057,0.0347674,-0.111211,0.425335,-0.599674,-0.0732525,0.801893,-1.41423,-0.0785306,0.841137,-1.11227,-0.0514804,0.113815,-0.982835,-0.027815,1.02214,-1.41761,-0.594863,1.5662,-9.39821,-0.257345,0.537721,1.18574,-0.750322,-5.03314,10.533,-0.644386,0.937434,0.710885,0,1,0,1,
0.32,0.0719607,-0.0149859,0.344455,0.0480048,-0.0375529,0.0130016,0.998056,0.441086,0.134105,0.0109373,-0.782736,1.50132,-1.12476,-0.0686324,0.794898,-1.61528,-0.0694531,0.847847,-1.12642,-0.0497631,0.124403,-0.987155,-0.0404573,0.989748,-1.36509,0.231005,-0.349746,-10.0527,0.453872,0.335517,-0.70765,0.085866,0.529445,-0.216024,-0.632116,-1.61938,2.62606,0,1,1,1,
0.34,0.0810637,-0.0119,0.344454,0.0376511,-0.0198527,-0.000367552,0.999094,0.469015,0.172974,-0.0107657,-1.19831,2.05457,-1.41524,-0.0464082,0.744534,-1.77524,-0.0499223,0.851314,-1.16472,-0.0410078,0.127415,-0.994429,-0.0513227,0.920653,-1.28201,1.11121,-2.5182,-7.99781,0.976542,0.173343,-1.91493,0.437765,0.150561,-0.363693,-0.543266,-3.45476,4.15421,0,1,1,1,
0.36,0.0907135,-0.0081271,0.344039,0.024246,0.000667144,-0.0155732,0.999584,0.495772,0.202815,-0.0303415,-1.38931,2.0738,-1.48745,-0.0099842,0.677609,-1.86243,-0.0252529,0.852814,-1.20846,-0.029426,0.127852,-1.00159,-0.0595268,0.836108,-1.18086,1.8212,-3.34621,-4.3592,1.23347,0.0749961,-2.18708,0.57909,0.0218878,-0.358105,-0.410207,-4.22721,5.05751,0,1,1,1,
0.38,0.100887,-0.00384765,0.343254,0.00987233,0.0186206,-0.0304996,0.999313,0.521358,0.223625,-0.0477901,-1.40716,1.53973,-1.37974,0.0304763,0.585738,-1.84694,-0.000526793,0.854621,-1.24059,-0.0184298,0.139893,-1.02127,-0.0656662,0.757928,-1.0774,2.02303,-4.59359,0.774124,1.23631,0.09032,-1.60652,0.549807,0.602052,-0.983743,-0.306968,-3.90905,5.17289,0,1,1,1,
0.4,0.11156,0.000757716,0.342142,-0.00382726,0.0284139,-0.0435168,0.998641,0.545771,0.235406,-0.0631117,-1.30641,0.433533,-1.12967,0.0663276,0.447222,-1.72223,0.0195424,0.859678,-1.24521,-0.0109875,0.178311,-1.06626,-0.0717288,0.709938,-0.993465,1.79256,-6.92578,6.23571,1.00346,0.252854,-0.230694,0.37212,1.92088,-2.2495,-0.303131,-2.39948,4.19671,0,1,1,1,
0.42,0.122713,0.00552103,0.340731,-0.0158451,0.0260276,-0.053692,0.998093,0.569482,0.240052,-0.0782647,-1.18282,-0.732115,-0.839316,0.0920497,0.306132,-1.51535,0.0317146,0.869526,-1.21095,-0.0091262,0.253209,-1.14362,-0.080162,0.712006,-0.951973,1.2861,-7.0545,10.3441,0.608606,0.492436,1.71278,0.0930627,3.74489,-3.86805,-0.421661,0.103422,2.07464,0,1,1,0,
0.44,0.134338,0.0103248,0.338999,-0.0262969,0.0143377,-0.0612293,0.997674,0.592957,0.239455,-0.0952076,-1.07088,-1.43258,-0.57861,0.107649,0.187381,-1.27339,0.0367384,0.881652,-1.14519,-0.0124103,0.354728,-1.24081,-0.0881811,0.785183,-1.07704,0.779976,-5.93755,12.0979,0.251192,0.606304,3.28823,-0.164203,5.07598,-4.85969,-0.400957,3.65884,-6.25328,0,1,1,0,
