time,base_x,base_y,base_z,base_quat_x,base_quat_y,base_quat_z,base_quat_w,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,contact_LF,contact_RF,contact_LH,contact_RH
0,0,0,0.3,0,0,0,1,0,0,0,0,0,0,0.0108173,0.786541,-1.57308,-0.0108173,0.786541,-1.57308,0.0108173,0.786541,-1.57308,-0.0108173,0.786541,-1.57308,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,
0.02,0.0002581,-0.000279881,0.300503,0.000240162,-0.00323121,-0.00094534,0.999994,0.0253086,-0.027697,0.0493426,0.0484115,-0.580809,-0.180223,0.012367,0.788275,-1.56036,-0.00914231,0.787977,-1.563,0.0101003,0.797024,-1.57778,-0.0115847,0.795396,-1.5778,0.0774821,0.0866726,0.636026,0.08375,0.071777,0.50418,-0.0358489,0.524127,-0.234659,-0.03837,0.442729,-0.235757,1,1,1,1,
0.04,0.000992286,-0.00109624,0.301935,0.000972098,-0.0103079,-0.00342661,0.999941,0.0476086,-0.0536477,0.0928923,0.0989193,-0.769238,-0.306837,0.0163475,0.791129,-1.52917,-0.00484273,0.790444,-1.53923,0.00818143,0.819796,-1.5856,-0.0135801,0.814088,-1.58613,0.199029,0.14272,1.55965,0.214979,0.123385,1.18862,-0.0959448,1.13859,-0.391061,-0.0997709,0.934631,-0.416509,1,1,1,1,
0.06,0.00214239,-0.00241414,0.30418,0.00222449,-0.0173071,-0.00691049,0.999824,0.0669001,-0.0778519,0.130649,0.156198,-0.565696,-0.37965,0.021736,0.791731,-1.49,0.00099118,0.791322,-1.51156,0.0053999,0.84172,-1.58721,-0.0163417,0.830761,-1.58942,0.269423,0.0301146,1.95869,0.291695,0.0438944,1.38334,-0.139077,1.09624,-0.0808987,-0.138079,0.83361,-0.164739,1,1,1,1,
0.08,0.00364824,-0.00419867,0.307122,0.00408442,-0.0203089,-0.0108802,0.999726,0.0831831,-0.10031,0.162613,0.229784,0.0294579,-0.400277,0.0276403,0.787375,-1.45386,0.00741231,0.788386,-1.49032,0.0020954,0.84928,-1.5733,-0.0194072,0.833317,-1.57906,0.295214,-0.217796,1.80696,0.321057,-0.146795,1.06209,-0.165225,0.377999,0.695801,-0.153277,0.127824,0.518099,1,1,1,1,
0.1,0.00544966,-0.00641489,0.310646,0.00671732,-0.015394,-0.0148609,0.999748,0.0964576,-0.121021,0.188784,0.330018,1.01592,-0.372545,0.033403,0.776021,-1.43248,0.0137125,0.779614,-1.4864,-0.00141531,0.828532,-1.53404,-0.0223656,0.809329,-1.54601,0.288137,-0.567728,1.06903,0.315011,-0.438623,0.195734,-0.175536,-1.03741,1.96269,-0.147919,-1.19943,1.65265,1,1,1,1,
0.12,0.0074902,-0.00902208,0.314623,0.0103012,-0.00021646,-0.0184564,0.999777,0.10728,-0.139117,0.207282,0.442248,1.92055,-0.310178,0.0386174,0.756617,-1.43374,0.0194612,0.763518,-1.50667,-0.00489636,0.77059,-1.4623,-0.0249869,0.751249,-1.48397,0.26072,-0.970196,-0.0633167,0.287436,-0.804824,-1.01312,-0.174052,-2.8971,3.58746,-0.131063,-2.90397,3.10165,1,1,1,1,
0.14,0.00972824,-0.0119564,0.318874,0.0148064,0.0212605,-0.0213575,0.999436,0.116208,-0.15373,0.216226,0.535266,2.2711,-0.222449,0.0428537,0.731493,-1.44875,0.0242935,0.742261,-1.54123,-0.00817328,0.687885,-1.36616,-0.0272959,0.672216,-1.40187,0.211816,-1.25619,-0.750645,0.241613,-1.06284,-1.72838,-0.163846,-4.13527,4.80659,-0.115449,-3.95164,4.10509,1,1,1,1,
0.16,0.0121259,-0.0151481,0.323208,0.0200458,0.0434985,-0.023222,0.998582,0.123241,-0.16486,0.215615,0.596524,2.06887,-0.10594,0.0454549,0.70413,-1.46458,0.0275846,0.719825,-1.57641,-0.0110182,0.598283,-1.25901,-0.0292443,0.590652,-1.31393,0.13006,-1.36814,-0.791076,0.164554,-1.12178,-1.75882,-0.142246,-4.48007,5.35795,-0.0974227,-4.07823,4.39704,1,1,1,1,
0.18,0.0146452,-0.0185275,0.327435,0.0257624,0.0609811,-0.023625,0.997527,0.128379,-0.172505,0.20545,0.622426,1.31495,0.0457491,0.0454132,0.678832,-1.46887,0.0282717,0.7018,-1.59933,-0.0126001,0.527347,-1.18046,-0.030584,0.525674,-1.23734,-0.00208789,-1.26489,-0.214767,0.0343547,-0.901269,-1.14587,-0.0790934,-3.54681,3.92728,-0.0669848,-3.24889,3.82952,1,1,0,1,
